Product or Service Code,Product or Service Description,Contracting Agency Name,Contracting Department Name,Funding Agency Name,Principal Place of Performance City Name,Principal Place of Performance State Code,Principal Place of Performance Country Name,Signed Date,Extent Competed,Fair Opportunity/Limited Sources,Type of Contract,Description of Requirement,Vendor Name,PIID,Referenced  IDV PIID,DUNS Number,Action Obligation
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,7/29/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::CL::IGF

INCREMENTAL FUNDING FOR TASC CONTRACT EP-W-13-015, OPTION PERIOD #1.  
TASK ORDER #10: OSRTI - MULTI REGIONS SUPPORT. OSRTI FRN #11. 
TASK ORDER PROVIDES TECHNICAL ASSISTANCE TO SUPERFUND SITE COMMUNITIES ACROSS ALL REGIONS.
OSRTI FRN - 11","SKEO SOLUTIONS , INC.",10,EPW13015,963278551,"$559,262.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,7/30/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"INCREMENTAL FUNDING FOR TASC CONTRACT EP-W-13-015, OPTION PERIOD #1. 
TASK ORDER #12 PROVIDES SUPER JTI SUPPORT IN CONDUCTING PROJECTS AT SUPERFUND SITES ACROSS THE COUNTRY.  OSRTI FRN - 9.1

IGF::CL::IGF","SKEO SOLUTIONS , INC.",12,EPW13015,963278551,"$186,238.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,8/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"OSRTI-HEADQUARTERS SUPPORT
IGF::OT::IGF","SKEO SOLUTIONS , INC.",13,EPW13015,963278551,"$80,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,8/25/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"TASC TASK ORDER
IGF::OT::IGF","SKEO SOLUTIONS , INC.",1,EPW13015,963278551,"$50,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,8/28/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::CL::IGF

INCREMENTAL FUNDING FOR TASC CONTRACT EP-W-13-015, OPTION PERIOD #1.  
TASK ORDER #10: OSRTI - MULTI REGIONS SUPPORT. OSRTI FRN #11. 
TASK ORDER PROVIDES TECHNICAL ASSISTANCE TO SUPERFUND SITE COMMUNITIES ACROSS ALL REGIONS.
OSRTI FRN - 11","SKEO SOLUTIONS , INC.",10,EPW13015,963278551,"$180,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/9/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
TECHNICAL ASSISTANCE SERVICES FOR COMMUNITIES (TASC) CONTRACT EP-W-13-015. 
TASK ORDER #3 ""OSRTI - MULTI REGIONS&HQ""","SKEO SOLUTIONS , INC.",3,EPW13015,963278551,"$60,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,"INCREMENTAL FUNDING FOR TASC CONTRACT EP-W-13-015, OPTION PERIOD #1.  
TASK ORDER TO#11:  OSRTI - NAVAJO NATION SUPPORT. OSRTI FRN #11. 
TASK ORDER PROVIDES TECHNICAL ASSISTANCE TO SUPERFUND SITE COMMUNITIES WITHIN NAVAJO NATION.
OSRTI FRN - 11

IGF::CL::IGF","SKEO SOLUTIONS , INC.",11,EPW13015,963278551,"$26,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/16/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
TECHNICAL ASSISTANCE SERVICES FOR COMMUNITIES (TASC) CONTRACT EP-W-13-015. 
TASK ORDER #5 ""OEJ-MULTI REGIONS"" 
TECHNICAL ASSISTANCE SERVICES FOR COMMUNITIES (TASC) CONTRACT EP-W-13-015","SKEO SOLUTIONS , INC.",5,EPW13015,963278551,"$60,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/24/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,IGF::OT::IGF SUPERFUND REDEVELOPMENT INITIATIVE (SRI),"SKEO SOLUTIONS , INC.",EPG14S00107,GS10F0309N,963278551,"$943,672.96 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/29/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF
THE PURPOSE OF THIS ACTION IS TO INITIATE TASK ORDER 0014 ENTITLED TASC OFFICE OF TRANSPORTATION AND AIR QUALITY-OPTION PERIOD 1. THE CONTRACTOR'S WORK PLAN AND COST ESTIMATE, DATED SEPTEMBER 28, 2015 IN THE AMOUNT OF $194,474.06 AND 1,589.50 HOURS IS HEREBY APPROVED. FUNDING IN THE AMOUNT OF $$194,474.06 IS PRESENTLY AVAILABLE UNDER THIS TASK ORDER, AND THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE CURRENT FUNDING LEVEL. THE EFFECTIVE DATE FOR THIS TASK ORDER IS 09/29/2015 TO 06/21/2016.","SKEO SOLUTIONS , INC.",14,EPW13015,963278551,"$194,474.06 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,IGF::OT::IGF SUPERFUND REDEVELOPMENT INITIATIVE (SRI),"SKEO SOLUTIONS , INC.",EPG14S00107,GS10F0309N,963278551,"$54,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,10/20/2014,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"ESAT REGION 5 TO 0001 

THE PURPOSE OF THIS MODIFICATION IS TO 1) ACCEPT THE TECHLAW'S REVISED PROPOSAL DATED OCTOBER 7, 2014 IN THE AMOUNT OF $1,105,419.99 FOR OPTION PERIOD 1 (YEAR 2) OF THIS TASK ORDER; 2) INCREASE THE OPTION PERIOD 1 (YEAR 2) CEILING ON THIS TASK ORDER FROM $73,290.76 TO $1,105,419.99; AND 3) OBLIGATE INCREMENTAL FUNDING IN THE AMOUNT OF $285,300.00 TO OPTION PERIOD 1 (YEAR 2).  THE TOTAL FUNDED AMOUNT FOR OPTION PERIOD 1 IS NOW $358,590.76. 

IGF::CT::IGF","TECHLAW, INC.",1,EPW13025,116211863,"$285,300.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,1/22/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"ESAT REGION 5 TO 0001 

MODIFICATION 7: INCREMENTAL FUNDING 

IGF::CT::IGF","TECHLAW, INC.",1,EPW13025,116211863,"$669,972.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,2/3/2015,FULL AND OPEN COMPETITION,ONLY ONE SOURCE - OTHER ,TIME AND MATERIALS,"NATIONAL PERFORMANCE EVALUATION PROGRAM FOR REGION 5
IGF::CT::IGF","TECHLAW, INC",EPG14S00076,GS10F0168J,116211863,"$30,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,8/25/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"ESAT REGION 5 TO 0001 

MODIFICATION 9: OBLIGATE FUNDS TO TASK ORDER
IGF::CT::IGF","TECHLAW, INC.",1,EPW13025,116211863,"$76,857.23 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CLAY,MI,UNITED STATES,5/12/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,"IGF::OT::IGF 

GREAT LAKES NATIONAL PROGRAM OFFICE CLEANUP SERVICES (GLNPOCS) COMPETITIVE TASK ORDER

HABITAT RESTORATION DESIGN PROJECTS ST. CLAIR RIVER AREA OF CONCERN: KRISPIN DRAIN RESTORATION SITE","GREAT LAKES SEDIMENT REMEDIATION, LLC",4,EPR51105,967988028,"$3,528,931.19 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CLAY,MI,UNITED STATES,9/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,"IGF::OT::IGF 

GREAT LAKES NATIONAL PROGRAM OFFICE CLEANUP SERVICES (GLNPOCS) COMPETITIVE TASK ORDER

HABITAT RESTORATION DESIGN PROJECTS ST. CLAIR RIVER AREA OF CONCERN: KRISPIN DRAIN RESTORATION SITE

CHANGE ORDER","GREAT LAKES SEDIMENT REMEDIATION, LLC",4,EPR51105,967988028,"$32,042.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CORVALLIS,OR,UNITED STATES,11/12/2014,COMPETED UNDER SAP,,FIRM FIXED PRICE,"STUDENT SERVICES CONTRACT-STUDENT SERVICES CONTRACT(RFQ-DC-14-00184)-NEWPORT, OR


IGF::CT::IGF CRITICAL FUNCTIONS","MASSIE, JORDAN",EP15W000017,,79582632,"$41,259.20 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CORVALLIS,OR,UNITED STATES,11/13/2014,COMPETED UNDER SAP,,FIRM FIXED PRICE,"STUDENT SERVICES CONTRACT-STUDENT SERVICES CONTRACT (RFQ-DC-14-00218)- CORVALLIS, OR


IGF::CT::IGF CRITICAL FUNCTIONS","STRATTON, LAUREL ELIZABETH",EP15W000041,,79576652,"$27,705.36 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DENVER,CO,UNITED STATES,10/30/2014,FULL AND OPEN COMPETITION,COMPETITIVE SET ASIDE,FIRM FIXED PRICE,"ROCKY MOUNTAIN ARSENAL OVERSIGHT
IGF::OT::IGF","PACIFIC WESTERN TECHNOLOGIES,",EPG13800046,GS00F0002M,187330741,"$540,140.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DENVER,CO,UNITED STATES,7/9/2015,FULL AND OPEN COMPETITION,COMPETITIVE SET ASIDE,FIRM FIXED PRICE,"ROCKY MOUNTAIN ARSENAL OVERSIGHT - MODIFICATION TO MOVE FUNDS FROM THE BASE PERIOD TO OPTION PERIOD 1
IGF::OT::IGF","PACIFIC WESTERN TECHNOLOGIES,",EPG13800046,GS00F0002M,187330741,"$330,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,11/7/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$85,417.37 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,12/5/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$437,654.50 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,1/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,POLICIES&STRATEGIES FOR INTEGRATED AIR QUALITY MGT,EC/R INCORPORATED,EPD10096,,783628357,"$145,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,1/23/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,50,EPD09010,4868105,"$504,930.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,1/23/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,51,EPD09010,4868105,"$242,840.40 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,1/23/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,52,EPD09010,4868105,"$154,334.90 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,1/23/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,53,EPD09010,4868105,"$289,950.20 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,3/11/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$378,216.84 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,4/24/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,50,EPD09010,4868105,"$466,262.90 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,4/24/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,51,EPD09010,4868105,"$242,840.40 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,4/24/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,52,EPD09010,4868105,"$152,715.70 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,4/24/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,53,EPD09010,4868105,"$291,346.80 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,5/20/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$1,526,530.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,5/26/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,POLICIES&STRATEGIES FOR INTEGRATED AIR QUALITY MGT,EC/R INCORPORATED,EPD10096,,783628357,"$25,291.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,6/4/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$1,837,080.63 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/9/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$121,750.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/16/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,50,EPD09010,4868105,"$322,042.40 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/16/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,51,EPD09010,4868105,"$166,798.90 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/20/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,52,EPD09010,4868105,"$105,441.30 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/20/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,53,EPD09010,4868105,"$201,232.70 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/26/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,POLICIES&STRATEGIES FOR INTEGRATED AIR QUALITY MGT,EC/R INCORPORATED,EPD10096,,783628357,"$119,604.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/31/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED TO INHERENTLY GOVERNMENTAL FUNCTIONS
ON-SITE RESEARCH LABORATORY SUPPORT","ARCADIS U.S., INC.",EPC09027,,81509838,"$74,662.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/22/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,50,EPD09010,4868105,"$170,065.70 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/22/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,52,EPD09010,4868105,"$55,964.90 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/22/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,53,EPD09010,4868105,"$105,738.50 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/23/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,IGF::OT::IGF,RESEARCH TRIANGLE INSTITUTE,51,EPD09010,4868105,"$89,569.50 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,POLICIES&STRATEGIES FOR INTEGRATED AIR QUALITY MGT,EC/R INCORPORATED,EPD10096,,783628357,"$62,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,EDISON,NJ,UNITED STATES,10/28/2014,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"REGION 2 EAST 
IGF::CT::IGF
INCREMENTAL FUNDING MODIFICATION","TECHLAW, INC.",2,EPW14022,116211863,"$180,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,EDISON,NJ,UNITED STATES,10/28/2014,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"REGION 2 ESAT
IGF::CT::IGF 
INCREMENTAL FUNDING MODIFICATION","TECHLAW, INC.",1,EPW14022,116211863,"$120,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,EDISON,NJ,UNITED STATES,11/18/2014,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"REGION 2 ESAT
IGF::CT::IGF 

THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDS IN THE AMOUNT OF $50,000.00 FOR ALL TASKS UNDER THE TASK ORDER STATEMENT OF WORK. THE FUNDING ON THIS TASK ORDER HAS INCREASED FROM $180,000.00 TO $230,000.00.","TECHLAW, INC.",1,EPW14022,116211863,"$50,000.00 "
F999,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,EDISON,NJ,UNITED STATES,1/28/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"REGION 2 ESAT
IGF::CT::IGF","TECHLAW, INC.",5,EPW14022,116211863,"$29,200.00 "
